term,entity,must_have,case
random forest,ANALYTICAL_METHOD,,0
regression trees,ANALYTICAL_METHOD,,0
Ridge,ANALYTICAL_METHOD,,0
Stacking,ANALYTICAL_METHOD,Algorithm,0
support vector machine,ANALYTICAL_METHOD,,0
Univariate logistic regression,ANALYTICAL_METHOD,,0
unsupervised hierarchical clustering,ANALYTICAL_METHOD,,0
aCGH,TECHNIQUE,dna;genom;sequenc;mutation;transcript,0
Array Comparative Genomic Hybridization ,TECHNIQUE,,0
cDNA microarray,TECHNIQUE,assay,0
ddPCR,TECHNIQUE,,0
Digital Droplet PCR,TECHNIQUE,,0
DMET Plus microarray,TECHNIQUE,microarray,0
eQTL,TECHNIQUE,,1
Genome-Wide Association Studies,TECHNIQUE,,0
High-Resolution Melt Analysis,TECHNIQUE,,0
HRM,TECHNIQUE,assay;analysis,1
Immunoassays,TECHNIQUE,,0
LC-MS,TECHNIQUE,assay;analysis,1
Liquid Chromatography-Mass Spectrometry,TECHNIQUE,,0
mass spectrometry-based,TECHNIQUE,,0
microarray,TECHNIQUE,dna;genome;sequenc;mutation;transcript,0
MinION nanopore sequencing,TECHNIQUE,,0
next generation sequencing,TECHNIQUE,dna;genom;sequenc;mutation;transcript,0
NGS,TECHNIQUE,,0
PCR,TECHNIQUE,dna;genom;sequenc;mutation;transcript,1
polymerase chain reaction,TECHNIQUE,,0
qPCR,TECHNIQUE,dna;genom;sequenc;mutation;transcript,1
real-time reverse transcriptase,TECHNIQUE,,0
RNA-Seq,TECHNIQUE,,0
RT-PCR,TECHNIQUE,,0
Sanger Sequencing,TECHNIQUE,,0
short-read sequencing,TECHNIQUE,,0
Single-cell RNA sequencing,TECHNIQUE,,0
tandem mass spectrometry,TECHNIQUE,,0
TaqMan assay,TECHNIQUE,,0
Targeted Panel Sequencing,TECHNIQUE,,0
Western blot,TECHNIQUE,,0
wgs,TECHNIQUE,dna;genom;sequenc;mutation;transcript,0
Whole Genome Sequencing,TECHNIQUE,,0
whole-exome sequencing,TECHNIQUE,,0
Whole exome sequencing,TECHNIQUE,,0
limited resources,CHALLENGE,,0
high costs,CHALLENGE,,0
long duration,CHALLENGE,,0
Technical limitations,CHALLENGE,,0
generalizability,CHALLENGE,cost;limit,0
kowledge gaps,CHALLENGE,,0
experimental variability,CHALLENGE,challenge;limit;difficult,0
regulatory oversight,CHALLENGE,,0
inconsistent findings,CHALLENGE,,0
economic constraint,CHALLENGE,challenge;limit;difficult,0
Regulatory framework,CHALLENGE,challenge;limit;difficult,0
Patient consent,CHALLENGE,challenge;limit;difficult,0
Healthcare disparities,CHALLENGE,challenge;limit;difficult,0
Ethnic diversity,CHALLENGE,challenge;limit;difficult,0
Rare diseases,CHALLENGE,challenge;limit;difficult,0
Data sharing,CHALLENGE,challenge;limit;difficult,0
Missing data,CHALLENGE,challenge;limit;difficult,0
Limited resources,CHALLENGE,challenge;limit;difficult,0
Discordance,CHALLENGE,challenge;limit;difficult,0
Incompatibility,CHALLENGE,challenge;limit;difficult,0
alternative,CHALLENGE,lack of,0
clear,CHALLENGE,lack of,0
efficacy,CHALLENGE,lack of,0
human,CHALLENGE,lack of,0
established,CHALLENGE,lack of,0
robust,CHALLENGE,lack of,0
clinical,CHALLENGE,lack of,0
effective,CHALLENGE,lack of,0
diversity,CHALLENGE,lack of,0
conclusive,CHALLENGE,lack of,0
large-scale,CHALLENGE,lack of,0
